user,place,total,last_point_datetime,day1_done,day2_done,day3_done,day4_done,day5_done,helping_day1,helping_day2,helping_day3,helping_day4,helping_day5,done_extra,friends_points
UG3PHRC3F,1,1450.0,1570799013.0,100.0,100.0,100.0,100.0,100.0,75,10,40,35,45,500.0,245
UMW97LMK8,2,1205.0,1570774925.0,100.0,100.0,100.0,100.0,100.0,75,20,10,0,0,500.0,100
UG43BA8TC,3,1135.0,1570779798.0,100.0,100.0,100.0,100.0,100.0,25,0,0,5,5,500.0,100
UMWCLDQ2Y,4,1105.0,1570800404.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,5,500.0,100
UH0KX3J83,5,1100.0,1570808803.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,100
UNKUH1VU2,6,1085.0,1570806126.0,100.0,100.0,100.0,100.0,100.0,5,20,20,30,5,500.0,5
UHRPPUKS9,7,1075.0,1570786491.0,100.0,100.0,100.0,100.0,100.0,40,30,5,0,0,500.0,0
UMX1WGEV6,8,1050.0,1570770296.0,100.0,100.0,100.0,100.0,100.0,20,5,0,0,25,500.0,0
UG4693BJB,9,1045.0,1570791458.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,45
UH1M2RHLK,10,1035.0,1570836049.0,100.0,100.0,100.0,100.0,100.0,10,15,10,0,0,500.0,0
UDDGW7UF4,11,1025.0,1570788206.0,100.0,100.0,100.0,100.0,100.0,15,0,0,10,0,500.0,0
UG38B84E8,12,1025.0,1570784156.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,25,500.0,0
UDBM9R2EB,13,1020.0,1570784232.0,100.0,100.0,100.0,100.0,100.0,0,5,0,15,0,500.0,0
UG3EBMFDG,14,1015.0,1570874674.0,100.0,100.0,100.0,100.0,100.0,5,5,0,5,0,500.0,0
UM277UQMT,15,1015.0,1570867774.0,100.0,100.0,100.0,100.0,100.0,5,10,0,0,0,500.0,0
UMRLRL4SV,16,1015.0,1570823107.0,100.0,100.0,100.0,100.0,100.0,5,0,10,0,0,500.0,0
UMKD59CSX,17,1015.0,1570785639.0,100.0,100.0,100.0,100.0,100.0,5,0,10,0,0,500.0,0
UD0AHCPMH,18,1015.0,1570779282.0,100.0,100.0,100.0,100.0,100.0,10,0,0,0,0,500.0,5
UH22Z21FF,19,1015.0,1570778591.0,100.0,100.0,100.0,100.0,100.0,15,0,0,0,0,500.0,0
UG2518YUU,20,1010.0,1570817099.0,100.0,100.0,100.0,100.0,100.0,10,0,0,0,0,500.0,0
UG4QKKP0E,21,1010.0,1570794461.0,100.0,100.0,100.0,100.0,100.0,10,0,0,0,0,500.0,0
UDNB4J42U,22,1010.0,1570783347.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,10,500.0,0
UNN9JH1GQ,23,1010.0,1570775553.0,100.0,100.0,100.0,100.0,100.0,5,0,0,5,0,500.0,0
UNUEHNM89,24,1005.0,1571037241.0,100.0,100.0,100.0,100.0,100.0,0,5,0,0,0,500.0,0
UHRV1GE2K,25,1005.0,1570989467.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UNPD27H7V,26,1005.0,1570968688.0,100.0,100.0,100.0,100.0,100.0,0,5,0,0,0,500.0,0
UHBRAE68H,27,1005.0,1570968224.0,100.0,100.0,100.0,100.0,100.0,0,5,0,0,0,500.0,0
UMR6GAZ0V,28,1005.0,1570965596.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UDD5ECRJ6,29,1005.0,1570965420.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,5,500.0,0
UJPNY28F8,30,1005.0,1570958665.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UG3FABSHK,31,1005.0,1570908730.0,100.0,100.0,100.0,100.0,100.0,0,0,0,5,0,500.0,0
UG20CFJDQ,32,1005.0,1570906977.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UH2P6VC68,33,1005.0,1570903548.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UHBUSED6E,34,1005.0,1570892702.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UG4P3D8PQ,35,1005.0,1570878561.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UG2NNQSSV,36,1005.0,1570839349.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UH1RW7NUS,37,1005.0,1570831657.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,5,500.0,0
UG2PT3U8J,38,1005.0,1570831497.0,100.0,100.0,100.0,100.0,100.0,0,5,0,0,0,500.0,0
UP543BJHL,39,1005.0,1570827615.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UH4NK9N77,40,1005.0,1570826574.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UG41CGB2N,41,1005.0,1570826510.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UH04E5KH9,42,1005.0,1570826214.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UH730MQD7,43,1005.0,1570825552.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UG5GBHW0N,44,1005.0,1570825157.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UG56Q10AK,45,1005.0,1570824841.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UH1A07477,46,1005.0,1570824334.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UH1VBHL6Q,47,1005.0,1570823372.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UMTKJRAR2,48,1005.0,1570822821.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UH3H9V43H,49,1005.0,1570822640.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UG29QQU3A,50,1005.0,1570822414.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UG1TQQ4VA,51,1005.0,1570822132.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UH0AVA4RH,52,1005.0,1570821740.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UG3TU7EGM,53,1005.0,1570820849.0,100.0,100.0,100.0,100.0,100.0,0,0,0,5,0,500.0,0
UH2JU983C,54,1005.0,1570813702.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UG37ZPWD7,55,1005.0,1570810266.0,100.0,100.0,100.0,100.0,100.0,0,5,0,0,0,500.0,0
UP5436R2A,56,1005.0,1570801024.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UGZ4WMZ9N,57,1005.0,1570795151.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UG3CV044W,58,1005.0,1570791031.0,100.0,100.0,100.0,100.0,100.0,0,0,5,0,0,500.0,0
UHGCHAA30,59,1005.0,1570788039.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UDN97F82X,60,1005.0,1570787692.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UNUEHU4RX,61,1005.0,1570784536.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,5,500.0,0
UH1L52Z3Q,62,1005.0,1570777421.0,100.0,100.0,100.0,100.0,100.0,0,0,0,5,0,500.0,0
UMPKWSEES,63,1005.0,1570775993.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UJJFJ7TPS,64,1005.0,1570775766.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,5
UP707J3GW,65,1005.0,1570775374.0,100.0,100.0,100.0,100.0,100.0,5,0,0,0,0,500.0,0
UH2CS2QCV,66,1000.0,1571086076.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMRRYMMEV,67,1000.0,1571084768.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3CGL8SJ,68,1000.0,1571074197.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH42CU2P8,69,1000.0,1571054806.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH7TF0KKL,70,1000.0,1571053787.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH07W77TL,71,1000.0,1571004923.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH08HNZKN,72,1000.0,1571003601.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2E54Y8Z,73,1000.0,1571001469.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH1AVPEG5,74,1000.0,1571000843.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2UULGNA,75,1000.0,1571000613.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UNPD3038T,76,1000.0,1571000548.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2TA37DM,77,1000.0,1570997800.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UME0D8KGS,78,1000.0,1570996296.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH32SASPR,79,1000.0,1570993603.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG38R77UM,80,1000.0,1570991246.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2R5N4V8,81,1000.0,1570987005.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH04BCRMH,82,1000.0,1570985529.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2EUDECT,83,1000.0,1570982039.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMZ291XGW,84,1000.0,1570978331.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH23ADRFX,85,1000.0,1570971060.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2HEB8TD,86,1000.0,1570970620.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH40MQ8RL,87,1000.0,1570962326.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UDEFWNUNA,88,1000.0,1570961480.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2S9FAJD,89,1000.0,1570956315.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UP5NH3VSS,90,1000.0,1570954033.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG1KCV69W,91,1000.0,1570942169.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHCCY1D24,92,1000.0,1570918507.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMA1ED9PV,93,1000.0,1570918309.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3189QSX,94,1000.0,1570918007.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMRTFJJKT,95,1000.0,1570917186.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG38YSGRK,96,1000.0,1570915807.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UDPARSPC3,97,1000.0,1570914317.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UJKEZLF63,98,1000.0,1570910685.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMDNNE1MH,99,1000.0,1570907548.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2EQ7WN8,100,1000.0,1570907270.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2ER866A,101,1000.0,1570900754.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH1HP2MJN,102,1000.0,1570885478.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2F33PNV,103,1000.0,1570885420.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UD0A08H19,104,1000.0,1570884381.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH0CVV2AW,105,1000.0,1570883054.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UNXBVESSH,106,1000.0,1570880508.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UM9GXFV28,107,1000.0,1570878581.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2CPN31R,108,1000.0,1570876404.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG32JTVJ6,109,1000.0,1570874179.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2HLJYDA,110,1000.0,1570873422.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3NW3AF5,111,1000.0,1570869378.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH0EKDNAY,112,1000.0,1570868768.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2F45QD9,113,1000.0,1570865736.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UCZUP504W,114,1000.0,1570865629.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UDEFPMGT1,115,1000.0,1570864051.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3HGPXQD,116,1000.0,1570860057.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH1APAAP7,117,1000.0,1570859408.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHGC1NXH7,118,1000.0,1570845726.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UNU6BB70C,119,1000.0,1570839447.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG5562VEY,120,1000.0,1570836294.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH28N93U6,121,1000.0,1570836236.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UGZCU4QQ0,122,1000.0,1570835586.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UCH8DUC5P,123,1000.0,1570835054.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UJF3NAS2D,124,1000.0,1570834494.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG388KFGC,125,1000.0,1570833682.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH3JMN9FZ,126,1000.0,1570833577.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHS76CTF0,127,1000.0,1570833033.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2NFHDKK,128,1000.0,1570832562.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH23K8AUE,129,1000.0,1570832450.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UN9G3VA2E,130,1000.0,1570831649.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG5E34JA2,131,1000.0,1570830965.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMNH0439V,132,1000.0,1570830839.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3GGMRJ9,133,1000.0,1570830717.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH33KN685,134,1000.0,1570830430.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHLPW09S8,135,1000.0,1570830371.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2DLUUHM,136,1000.0,1570830370.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UDCDY3LTA,137,1000.0,1570830160.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHF35MYN8,138,1000.0,1570829875.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG41FE1EX,139,1000.0,1570829751.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH24AD1LP,140,1000.0,1570829509.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH1R3HMU5,141,1000.0,1570829450.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG4H96NB0,142,1000.0,1570829371.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHRUJR0A3,143,1000.0,1570829253.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG1N4SYDP,144,1000.0,1570829159.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH1MCPK7W,145,1000.0,1570829040.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH231VBCL,146,1000.0,1570828852.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMMEN41M3,147,1000.0,1570828812.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMXLC142K,148,1000.0,1570828340.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH3MSJK63,149,1000.0,1570828213.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH1M5RB7F,150,1000.0,1570828077.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH11S5YPP,151,1000.0,1570828057.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3CEFBLN,152,1000.0,1570827735.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UD4P7KF2T,153,1000.0,1570827531.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMA1F3MSP,154,1000.0,1570827364.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2TFLT7W,155,1000.0,1570827344.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2EG998W,156,1000.0,1570827162.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UJQ6L9MM5,157,1000.0,1570827154.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHMFN37L4,158,1000.0,1570827088.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3Q3SPD1,159,1000.0,1570827082.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHQ19M58B,160,1000.0,1570827060.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3UDHKR8,161,1000.0,1570826939.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG3T6B49G,162,1000.0,1570826894.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMYNC6NCX,163,1000.0,1570826858.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH1N68AF4,164,1000.0,1570826788.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMF553XH8,165,1000.0,1570826749.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH0735BM1,166,1000.0,1570826570.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG1VBAB60,167,1000.0,1570826491.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UMLP2BV9R,168,1000.0,1570826225.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH2C46KQT,169,1000.0,1570825833.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UDDR390FL,170,1000.0,1570825749.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UP5NH5AKG,171,1000.0,1570825673.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
ULGU7Q4KE,172,1000.0,1570825668.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHT311GPR,173,1000.0,1570825636.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG4H9LQT0,174,1000.0,1570825558.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG391Q281,175,1000.0,1570825486.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH096PR7W,176,1000.0,1570825347.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG31ALZJT,177,1000.0,1570825059.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UJRNYQKD4,178,1000.0,1570825003.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2BH637U,179,1000.0,1570824865.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UNUKZSVQ8,180,1000.0,1570824693.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UHGNSGTJ9,181,1000.0,1570824397.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UH3P7JKPG,182,1000.0,1570824152.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG4HZT3PD,183,1000.0,1570823980.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG33X3W07,184,1000.0,1570823973.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UG2BB8QE4,185,1000.0,1570823839.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UJNFM6NDC,186,1000.0,1570823655.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UNSLPQF8B,187,1000.0,1570823546.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
UCTBF09L7,188,1000.0,1570823364.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,500.0,0
